,Date,Price,Open,High,Low,Vol
1280,"Jul 09, 2014",12.70,12.75,12.85,12.65,6.32M
1281,"Jul 08, 2014",12.75,12.75,12.95,12.70,67.82M
1282,"Jul 07, 2014",12.75,12.75,12.90,12.70,24.37M
1283,"Jul 04, 2014",12.70,12.70,12.80,12.65,1.79M
1284,"Jul 03, 2014",12.75,12.65,12.80,12.55,1.59M
1285,"Jul 02, 2014",12.95,12.70,13.05,12.55,17.91M
1286,"Jul 01, 2014",12.65,12.50,13.00,12.50,17.98M
1287,"Jun 30, 2014",12.45,12.50,12.60,12.45,6.48M
1288,"Jun 27, 2014",12.45,12.35,12.55,12.35,22.86M
1289,"Jun 26, 2014",12.40,12.20,12.50,12.20,24.17M
1290,"Jun 25, 2014",12.55,12.60,12.70,12.00,17.58M
1291,"Jun 24, 2014",12.65,12.80,12.80,12.50,19.78M
1292,"Jun 23, 2014",12.80,12.80,12.85,12.75,8.83M
1293,"Jun 20, 2014",12.80,12.80,12.90,12.75,16.25M
1294,"Jun 19, 2014",12.80,12.80,12.85,12.55,8.81M
1295,"Jun 18, 2014",12.80,12.85,12.90,12.70,44.46M
1296,"Jun 17, 2014",12.85,12.80,12.90,12.80,14.53M
1297,"Jun 16, 2014",12.85,12.90,12.95,12.80,1.41M
1298,"Jun 13, 2014",12.90,12.95,13.00,12.85,4.04M
1299,"Jun 12, 2014",12.95,12.90,13.00,12.85,15.64M
1300,"Jun 11, 2014",12.90,12.80,13.05,12.80,11.00M
1301,"Jun 10, 2014",12.85,12.80,12.90,12.80,19.40M
1302,"Jun 09, 2014",12.85,12.80,12.95,12.80,16.15M
1303,"Jun 06, 2014",12.80,12.80,12.95,12.80,1.60M
1304,"Jun 05, 2014",12.80,12.95,12.95,12.80,31.26M
1305,"Jun 04, 2014",12.80,12.80,12.90,12.80,19.83M
1306,"Jun 03, 2014",12.80,12.95,12.95,12.70,44.05M
1307,"May 30, 2014",12.95,13.00,13.10,12.90,16.31M
1308,"May 29, 2014",13.00,12.95,13.05,12.90,29.63M
1309,"May 28, 2014",12.95,12.95,13.00,12.90,23.77M
1310,"May 27, 2014",13.00,13.00,13.05,12.95,17.52M
1311,"May 26, 2014",13.00,13.00,13.05,13.00,2.21M
1312,"May 23, 2014",12.95,12.85,13.05,12.75,2.74M
1313,"May 22, 2014",13.00,13.05,13.10,12.85,6.09M
1314,"May 21, 2014",13.05,13.00,13.20,13.00,55.25M
1315,"May 20, 2014",13.05,13.00,13.10,12.95,12.05M
1316,"May 19, 2014",13.00,13.00,13.10,12.90,3.51M
1317,"May 16, 2014",12.85,12.70,13.20,12.65,57.81M
1318,"May 15, 2014",12.60,12.65,12.70,12.50,21.42M
1319,"May 14, 2014",12.60,12.90,12.90,12.10,12.96M
1320,"May 13, 2014",12.85,13.00,13.10,12.75,11.95M
1321,"May 12, 2014",12.90,12.80,13.00,12.80,4.14M
1322,"May 09, 2014",12.85,12.90,13.05,12.75,36.35M
1323,"May 08, 2014",12.80,12.85,13.00,12.75,27.77M
1324,"May 07, 2014",12.90,12.80,13.00,12.75,17.36M
1325,"May 06, 2014",12.80,13.00,13.00,12.70,28.68M
1326,"May 05, 2014",13.00,13.05,13.10,12.85,13.78M
1327,"May 02, 2014",13.10,13.10,13.20,13.05,6.02M
1328,"Apr 30, 2014",13.10,13.10,13.20,13.10,69.20M
1329,"Apr 29, 2014",13.05,13.05,13.20,13.00,3.30M
1330,"Apr 28, 2014",13.05,13.05,13.10,13.00,4.09M
1331,"Apr 25, 2014",13.05,13.15,13.20,13.00,28.50M
1332,"Apr 24, 2014",13.20,13.00,13.30,13.00,8.28M
1333,"Apr 23, 2014",13.00,13.10,13.10,12.90,14.45M
1334,"Apr 22, 2014",13.20,13.20,13.30,13.10,11.64M
1335,"Apr 17, 2014",13.20,13.10,13.30,13.10,3.06M
1336,"Apr 16, 2014",13.20,13.15,13.40,13.10,11.28M
1337,"Apr 15, 2014",13.10,12.90,13.30,12.80,12.53M
1338,"Apr 14, 2014",12.85,12.75,13.00,12.70,22.42M
1339,"Apr 11, 2014",12.75,13.00,13.00,12.60,123.20M
1340,"Apr 10, 2014",12.75,12.40,13.00,12.40,7.22M
1341,"Apr 09, 2014",12.45,12.30,12.50,12.30,4.05M
1342,"Apr 08, 2014",12.35,12.40,12.45,12.30,13.67M
1343,"Apr 07, 2014",12.45,12.45,12.60,12.35,18.91M
1344,"Apr 04, 2014",12.40,12.40,12.50,12.35,2.40M
1345,"Apr 03, 2014",12.50,12.50,12.60,12.40,15.73M
1346,"Apr 02, 2014",12.40,12.40,12.50,12.35,3.47M
1347,"Apr 01, 2014",12.35,12.35,12.50,12.35,2.48M
1348,"Mar 31, 2014",12.35,12.35,12.40,12.30,12.78M
1349,"Mar 28, 2014",12.30,12.30,12.35,12.25,15.32M
1350,"Mar 27, 2014",12.35,12.30,12.40,12.10,3.50M
1351,"Mar 26, 2014",12.45,12.50,12.60,12.30,15.82M
1352,"Mar 25, 2014",12.35,12.30,12.60,12.15,3.44M
1353,"Mar 24, 2014",12.35,12.60,12.70,12.10,8.57M
1354,"Mar 21, 2014",12.60,12.45,12.65,12.40,28.83M
1355,"Mar 20, 2014",12.50,12.35,12.60,12.30,27.55M
1356,"Mar 19, 2014",12.30,12.20,12.50,12.20,3.06M
1357,"Mar 18, 2014",12.20,12.15,12.30,12.10,11.64M
1358,"Mar 17, 2014",12.10,12.05,12.30,12.00,6.35M
1359,"Mar 14, 2014",12.05,12.25,12.35,12.00,2.59M
1360,"Mar 13, 2014",12.35,12.00,12.60,12.00,12.73M
1361,"Mar 12, 2014",11.90,11.80,12.10,11.75,3.24M
1362,"Mar 11, 2014",11.80,11.75,11.90,11.75,5.71M
1363,"Mar 10, 2014",11.80,11.75,11.90,11.75,7.07M
1364,"Mar 07, 2014",11.75,11.70,11.85,11.70,11.85M
1365,"Mar 06, 2014",11.80,11.70,11.90,11.70,27.45M
1366,"Mar 05, 2014",11.70,11.70,11.80,11.65,16.39M
1367,"Mar 04, 2014",11.70,11.70,11.80,11.70,5.00M
1368,"Mar 03, 2014",11.70,11.75,11.75,11.65,2.95M
1369,"Feb 28, 2014",11.70,11.75,11.80,11.65,19.98M
1370,"Feb 27, 2014",11.65,11.70,11.80,11.55,5.14M
1371,"Feb 26, 2014",11.65,11.65,11.75,11.55,6.33M
1372,"Feb 25, 2014",11.55,11.40,11.75,11.40,10.63M
1373,"Feb 24, 2014",11.45,11.35,11.50,11.35,9.23M
1374,"Feb 21, 2014",11.40,11.40,11.50,11.35,11.72M
1375,"Feb 20, 2014",11.40,11.40,11.50,11.30,15.92M
1376,"Feb 19, 2014",11.40,11.60,11.60,11.35,10.00M
1377,"Feb 18, 2014",11.55,11.65,11.65,11.45,6.68M
1378,"Feb 17, 2014",11.65,11.80,11.85,11.50,9.36M
1379,"Feb 14, 2014",11.80,11.80,12.00,11.70,2.46M
1380,"Feb 13, 2014",11.70,11.80,11.80,11.65,15.77M
1381,"Feb 12, 2014",11.80,11.75,11.95,11.75,5.42M
1382,"Feb 11, 2014",11.80,11.85,11.85,11.70,14.58M
1383,"Feb 10, 2014",11.75,11.85,11.85,11.55,12.19M
1384,"Feb 07, 2014",11.85,11.95,12.00,11.75,8.47M
1385,"Feb 06, 2014",11.95,11.50,12.05,11.50,28.88M
1386,"Feb 05, 2014",11.45,11.30,11.85,11.30,2.27M
1387,"Feb 04, 2014",11.35,11.35,11.50,11.30,6.65M
1388,"Feb 03, 2014",11.20,11.00,11.40,11.00,15.52M
1389,"Jan 31, 2014",11.00,11.45,11.45,10.60,12.36M
1390,"Jan 30, 2014",11.50,11.60,11.80,11.40,16.65M
1391,"Jan 29, 2014",11.85,12.05,12.05,11.75,14.13M
1392,"Jan 28, 2014",12.05,12.30,12.40,12.00,10.10M
1393,"Jan 27, 2014",12.35,12.45,12.60,12.25,43.17M
1394,"Jan 24, 2014",12.45,12.20,12.80,12.20,16.04M
1395,"Jan 23, 2014",12.05,12.00,12.20,11.95,9.79M
1396,"Jan 22, 2014",12.00,11.75,12.10,11.75,10.58M
1397,"Jan 21, 2014",11.75,11.70,12.00,11.65,11.31M
1398,"Jan 20, 2014",11.70,11.50,11.80,11.40,7.60M
1399,"Jan 17, 2014",11.50,11.55,11.60,11.50,1.93M
